PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
BawTl,2K2k2/8/B6p/8/P7/8/7n/5q2 w - - 0 44,f2f1q a6f1 h2f1 a4a5,506,103,96,606,advantage defensiveMove endgame master masterVsMaster short,https://lichess.org/dyHaqyxJ/black#86,
yGOYs,8/5k2/4p3/4P1Kp/8/8/8/8 w - - 1 50,g7f7 g5h5 f7g7 h5g5,512,103,87,227,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/45udRw5n/black#98,
hRexn,8/8/2k2p2/p1P4p/P1K4P/8/8/8 b - - 1 39,d4c4 f6f5 c4d4 f5f4,519,101,91,219,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/BQw8Fv9S#77,
ELxpu,8/4k3/pp2P3/4Kp1p/P4P1P/8/8/8 b - - 4 43,d5e5 b6b5 a4a5 b5b4,522,108,82,1055,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/anN6fEfd#85,
U9Lbt,8/8/6p1/K7/5k2/1P6/8/8 w - - 1 55,g5f4 b3b4 g6g5 b4b5,532,86,100,157,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/YXTDSJrp/black#108,
coA5i,8/5k2/p7/5PK1/8/8/8/8 b - - 0 71,f4f5 a6a5 g5f4 a5a4,537,105,83,239,crushing defensiveMove endgame master pawnEndgame quietMove short,https://lichess.org/XGDvwCZ2#141,
v3ebE,8/8/k5p1/1p1p1pP1/Pp1P1P2/K7/8/8 w - - 0 51,a5b4 a3b4 b5a4 b4a4 a6b6 a4b4,545,98,100,181,crushing defensiveMove endgame long pawnEndgame zugzwang,https://lichess.org/EXrXQZVi/black#100,
1g9Nq,8/8/p7/6Kp/1k5P/6P1/8/8 b - - 2 55,f5g5 a6a5 g5h5 a5a4,553,109,83,337,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/0TEwMEE8#109,
APlpd,8/8/p7/1p1K1qk1/1P1Q4/2P5/8/8 w - - 16 69,f1f5 d4e5 f5e5 d5e5,558,86,100,278,crushing defensiveMove endgame master queenEndgame short,https://lichess.org/oqC9vas2/black#136,
IfhGC,8/7k/5r2/7Q/5rPK/P6P/8/8 b - - 0 54,g5h5 f6h6 h5h6 h7h6,563,84,100,451,crushing defensiveMove endgame pin queenRookEndgame short,https://lichess.org/CAnmoQTl#107,
wrjgq,5QK1/6P1/p3q3/8/p1k5/8/8/8 w - - 1 57,e7e6 f8f7 e6f7 g8f7,570,96,93,699,crushing defensiveMove endgame queenEndgame short,https://lichess.org/mqkte9gx/black#112,
PfGL9,8/8/8/1P6/1Kp1k3/P1Pn4/8/8 w - - 3 71,e5d3 b4c4 d3e5 c4c5,579,84,100,184,crushing defensiveMove endgame knightEndgame master short,https://lichess.org/asfEOPOl/black#140,
gLXlu,8/3k4/K1P4p/4p1pP/4P1P1/8/8/8 b - - 0 55,d5c6 d7c6 a6a5 c6c5,581,93,100,48,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/CFHWWjYr#109,
mF3ot,8/1Q3p2/PK1q2k1/4pp2/8/7P/6P1/8 w - - 2 62,f8d6 b7c6 d6c6 b6c6,589,94,95,367,crushing defensiveMove endgame queenEndgame short,https://lichess.org/BNs7iO3S/black#122,
PqtF6,8/8/K7/R2pk3/r7/8/PP6/8 b - - 3 57,b5a5 a4a5 a6a5 d5d4,593,83,100,414,crushing defensiveMove endgame rookEndgame short,https://lichess.org/KphzQps6#113,
Zfmdb,8/8/4p1k1/4Pp2/5Pr1/8/5K2/6R1 b - - 3 63,h1g1 g4g1 f2g1 g6h5,598,80,100,779,crushing defensiveMove endgame rookEndgame short,https://lichess.org/uIJUDCsH#125,
FGfwX,8/8/2R1rk2/1p4p1/1P4Pp/5K1P/8/8 w - - 5 46,e5e6 c6e6 f6e6 f3e4,603,89,100,180,crushing defensiveMove endgame master rookEndgame short zugzwang,https://lichess.org/psTGfsnD/black#90,
M8lz8,8/8/2p5/1pPp2Pk/1P1P4/6K1/8/8 b - - 0 46,f4g5 h5g5 g3f3 g5f5,605,95,97,1041,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/fdgNWwzF#91,
b9qJ1,8/1k2p3/1p2P3/1P6/1Kr5/8/8/8 w - - 0 55,c7c4 b4c4 b7c7 c4d5,613,91,93,110,crushing defensiveMove endgame master short,https://lichess.org/NZTkEcLQ/black#108,
5YS3t,8/4k1R1/8/3p2N1/6r1/7p/8/7K b - - 3 51,g8g7 e7f6 g7f7 f6g5,618,88,100,225,advantage defensiveMove endgame master short,https://lichess.org/65JdZwcu#101,
oqYLQ,8/8/7k/7p/7P/6rK/6P1/8 w - - 0 59,c3g3 h3g3 h6g6 g3f4,626,82,100,348,crushing defensiveMove endgame short,https://lichess.org/mhOtLHed/black#116,
a5ywA,8/7p/6p1/8/3K4/1P3k2/5P2/8 w - - 2 72,f4f3 b3b4 f3f2 b4b5,632,91,100,52,crushing defensiveMove endgame master masterVsMaster pawnEndgame quietMove short,https://lichess.org/vLLbwhxi/black#142,
zSrJS,5r2/4k1Q1/p1p2p2/4pP2/2p1P1N1/7R/P1q3PP/1r3R1K b - - 0 36,g6g7 f8f7 g7f7 e7f7,638,79,100,155,crushing defensiveMove middlegame short,https://lichess.org/6U5K9p0R#71,
lE6jL,5r2/1Q4k1/3R4/4p1p1/1P2Pn2/5PqP/6P1/6NK b - - 0 36,b6b7 f8f7 b7f7 g7f7,644,80,100,227,advantage defensiveMove endgame short,https://lichess.org/KTiFohfm#71,
q4WFx,8/8/8/p5p1/PkPK4/1r2R3/8/8 w - - 0 56,b2b3 e3b3 b4b3 c4c5,654,84,98,515,crushing defensiveMove endgame rookEndgame short,https://lichess.org/bllHijBb/black#110,
UPYjw,8/1kb5/p1p1p1p1/P1PpP1P1/3P4/2K5/3B4/8 b - - 10 53,d3c3 c7a5 c3c2 a5d2 c2d2 a6a5,659,87,100,1142,bishopEndgame crushing defensiveMove endgame long master,https://lichess.org/Y0UMtQhh#105,
9h4aW,8/p7/4K3/8/2k5/7P/8/8 w - - 0 51,b3c4 h3h4 a7a5 h4h5,678,99,100,53,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/4oQYHNCm/black#100,
