PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
FpfFB,3R1rk1/4nppp/1pp1p3/4P3/2p3P1/r7/P4P2/3R2K1 w - - 2 22,h3a3 d8f8 g8f8 d1d8,507,96,100,295,attraction backRankMate endgame mate mateIn2 short,https://lichess.org/agYDLc65/black#42,
UEbTj,8/1r6/8/5k2/7p/6pP/R5P1/1r4RK b - - 0 54,a1a2 b1g1 h1g1 b7b1,514,103,94,689,attraction endgame mate mateIn2 rookEndgame short,https://lichess.org/yTqTp6Og#107,
wpx9D,r5rk/ppp2p1n/3pqPp1/8/2n1PR1R/P6P/1BB3P1/7K w - - 0 27,f8h7 h4h7 h8h7 f4h4,528,96,97,581,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/7ELKhewv/black#52,
iWx4i,2R1bk2/1pP2p1p/4pP2/4P3/8/1q1p4/3K4/8 w - - 1 59,b6b3 c8e8 f8e8 c7c8q,534,88,85,221,advancedPawn attraction endgame master mate mateIn2 promotion short,https://lichess.org/Ivty5SFA/black#116,
BLjRJ,8/6kp/3q2p1/1P3p2/B4p2/7P/2P2PPQ/3r1RK1 b - - 3 37,e1f1 d1f1 g1f1 d6d1,536,98,95,617,attraction endgame mate mateIn2 short,https://lichess.org/6w7YgSBu#73,
f0FTs,3R2rk/6p1/5pPp/P1q1nP1P/8/8/1PP5/1K1R4 w - - 0 38,f2c5 d8g8 h8g8 d1d8 c5f8 d8f8,540,95,90,629,attraction crushing endgame long,https://lichess.org/HVIxEaDf/black#74,
tzC5j,4rrk1/R4pp1/2p4p/6bR/P7/8/2P3QP/7K b - - 0 28,b7a7 e8e1 g2g1 e1g1 h1g1 g5e3,558,96,75,70,advantage attraction endgame long,https://lichess.org/kKoADAIW#55,
osOsa,3r1k2/p7/1p6/4Q3/1P6/7p/P4P1P/3r2RK b - - 2 37,g6g1 d1g1 h1g1 d8d1 e5e1 d1e1,563,108,85,302,attraction endgame long mate mateIn3 queenRookEndgame,https://lichess.org/UggwqTsE#73,
4a5A7,r1b1Rrk1/1p3ppp/pb1p4/3p4/B7/3P1P2/PPP2P1P/4R1K1 w - - 0 18,c6d5 e8f8 g8f8 e1e8,574,89,82,100,attraction kingsideAttack mate mateIn2 middlegame short,https://lichess.org/BUfen6zM/black#34,Three_Knights_Opening Three_Knights_Opening_Other_variations
krgxs,5k1r/1r2ppb1/p4npp/8/2q5/P1NR4/1PPQ2PP/2KR4 w - - 0 21,b8b7 d3d8 f6e8 d8e8 f8e8 d2d8,577,90,96,492,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/UVs7AhQb/black#40,
zLpuK,2k1r3/ppp3N1/5n2/6p1/1b6/1P6/1PP2PPP/RN2rRK1 b - - 4 21,f5g7 e1f1 g1f1 e8e1,588,101,95,643,attraction kingsideAttack mate mateIn2 middlegame short,https://lichess.org/siaoVftP#41,
WGmvz,8/pkp3P1/2p5/8/2p1Q3/2P1B3/P2p1PPP/3q1NK1 b - - 1 32,b6e3 d1f1 g1f1 d2d1q,592,83,100,242,advancedPawn attraction endgame master mate mateIn2 promotion short,https://lichess.org/tiuawQsz#63,
YACFj,7k/2r2ppp/pp3n2/8/2Pp2P1/P2q4/1P2RP1P/4R1K1 w - - 0 31,c8c7 e2e8 f6g8 e8g8 h8g8 e1e8,597,102,96,363,attraction backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/JSJ7UBNa/black#60,
fM3nq,3r1k2/p4p1p/6p1/8/1PB5/P1n1P3/1R3PPP/3rRK2 b - - 6 31,g1f1 d1e1 f1e1 d8d1,604,86,100,150,attraction endgame mate mateIn2 short,https://lichess.org/nTYdWFLQ#61,
mbTjt,4Rrk1/r4ppp/p1B3b1/1p6/2p3P1/P1b4P/1PP5/2K1R3 w - - 0 30,d4c3 e8f8 g8f8 e1e8,609,89,100,99,attraction kingsideAttack mate mateIn2 middlegame short,https://lichess.org/NWRzacuZ/black#58,
qwpci,6B1/1p5Q/2p3p1/p3qpk1/P4p2/3P4/1PP3PP/4r1RK b - - 3 36,h3h7 e1g1 h1g1 e5e1,614,83,100,399,attraction endgame mate mateIn2 short,https://lichess.org/4HwvsMeU#71,
9DEbF,2bR1rk1/1p2nppp/1pr1p3/8/4P3/P7/1PP2PPP/2KR4 w - - 0 19,c7c6 d8f8 g8f8 d1d8,629,96,91,189,attraction backRankMate endgame mate mateIn2 short,https://lichess.org/3PQxobwZ/black#36,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
nq5sQ,5r1k/r4Bpp/p7/1p5Q/8/P2qPK2/1b6/5R1R w - - 2 27,a8a7 h5h7 d3h7 h1h7 h8h7 f1h1,630,87,100,426,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/GChrD3tV/black#52,
Jozts,3q2k1/1p2nppp/p4b2/4p3/4B3/1NP3Q1/PP3PPP/3r1RK1 b - - 5 22,h1g1 d1f1 g1f1 d8d1,643,80,100,217,attraction kingsideAttack mate mateIn2 middlegame short,https://lichess.org/tFzXVVJs#43,
4xQZj,4Rr1k/1p3Pp1/p6p/2qp4/8/8/P1P3PP/4R2K w - - 0 26,h7h6 e8f8 c5f8 e1e8 h8h7 e8f8,646,87,100,303,attraction clearance crushing endgame long pin queenRookEndgame,https://lichess.org/nu0X6QNg/black#50,
ck4DM,4r1k1/p4ppp/2p2P2/6B1/Nb1p4/P7/1PQ2PPP/4rBK1 b - - 0 21,a2a3 e1f1 g1f1 e8e1,656,97,87,505,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/GBQFXhlt#41,
xMQ0p,2Rrk2r/1p3ppp/pN2p3/1b1p4/3P4/8/PP3PPP/2R3K1 w k - 4 20,d3b5 c8d8 e8d8 c1c8,664,84,99,786,attraction crushing endgame short,https://lichess.org/OpRMm1rO/black#38,
8z1mg,4r1k1/2p2p1p/1pp2Rbp/8/4r3/2Pn2R1/PPQ3PP/6K1 b - - 0 26,f1f6 e4e1 f6f1 e1f1 g1f1 e8e1,667,90,98,313,attraction kingsideAttack long mate mateIn3 middlegame,https://lichess.org/JOWQk5CQ#51,
mwzln,5r1k/p6p/1p3r2/1R6/2P5/7P/P2p2P1/3R2K1 b - - 0 33,h2h3 f6f1 d1f1 f8f1 g1f1 d2d1q,672,87,95,552,advancedPawn advantage attraction endgame long promotion rookEndgame,https://lichess.org/HD91cdZw#65,
IXYzH,3R2nk/5ppp/8/p7/2P1q3/4Pb2/PP1Q3P/6K1 w - - 1 28,b7e4 d8g8 h8g8 d2d8 e4e8 d8e8,679,90,88,134,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/mYR8CYak/black#54,
Vj7VG,r4r1k/1b4pp/3q1p2/p1p1pP2/2B1P3/4BR1R/PPP3PP/6K1 w - - 2 21,g8h8 h3h7 h8h7 f3h3,681,81,100,412,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/aJEjvWqs/black#40,
J3SAI,5r1k/ppp4B/7Q/1b2P1p1/8/2P5/PP4PP/5rNK b - - 0 29,g6h6 f1g1 h1g1 f8f1,690,99,100,72,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/oFWE99a3#57,
jF6um,8/1rp2kp1/4p2p/p2p4/3P1P2/P4P1P/2P3P1/1r1RK2R b K - 2 27,c1d1 b1d1 e1d1 b7b1 d1d2 b1h1,695,94,95,818,attraction crushing endgame exposedKing long rookEndgame skewer,https://lichess.org/sxpS3HeW#53,
Is8TD,1r2r2k/pp2PB1p/3p2p1/2p5/8/2P2R1P/P5P1/7K w - - 1 24,f8e8 f7e8 b8e8 f3f8 h8g7 f8e8,700,99,100,392,attraction clearance crushing endgame long,https://lichess.org/sQO3yY4n/black#46,
fStBF,5Rnr/2k1p1pp/5p2/8/B2P4/2N1PN2/2p2PPP/2r2RK1 b - - 1 22,d1c3 c1f1 g1f1 c2c1q,709,92,97,2974,advancedPawn advantage attraction kingsideAttack middlegame promotion short,https://lichess.org/IhwF5HEg#43,
Nxvpo,2b2rk1/1p4pp/2q1p3/r1p5/8/6P1/P1P1N2P/R2QKR2 w Q - 2 20,e4c6 f1f8 g8f8 d1d8,717,97,93,1035,attraction crushing middlegame short,https://lichess.org/NZNU3DPS/black#38,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
bJ9yh,4r1k1/pp3pp1/3Q3p/b6R/2P2B2/8/P4PPP/4rRK1 b - - 0 23,d5h5 e1f1 g1f1 e8e1,724,99,96,1491,attraction mate mateIn2 middlegame short,https://lichess.org/FU3vJCOe#45,
