PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
p3LdD,r1r2k2/4qpp1/3p2n1/4p3/1p2P3/pP3P1R/P1P4R/1K1Q4 w - - 9 39,f6e7 h3h8 g6h8 h2h8,504,95,100,441,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/s37BkA5H/black#76,
fkBdX,2k2r2/ppp2qp1/4p3/1b1p4/3P4/Q3B3/PPP3PP/4R1K1 b - - 3 21,g5e3 f7f1 e1f1 f8f1,509,84,100,322,endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/w2hmJhXJ#41,
Pm7gv,r1br2kb/p1q2p1p/6pB/2pp1pN1/5P2/4Q3/PPP3PP/4RRK1 w - - 0 20,c6c5 e3e8 d8e8 e1e8,518,98,100,287,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/HVa0WWmW/black#38,
7Q6mx,4r1k1/p4ppb/2p1q2p/3p4/PP1P1Q2/7P/5PPB/2R3K1 b - - 0 29,a3a4 e6e1 c1e1 e8e1,523,88,100,109,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/0YnTNLLN#57,
tfB9k,3r2k1/1pp2pp1/2n2q1p/p7/P6P/2P5/1PB1QPP1/4R1K1 w - - 0 30,f5f6 e2e8 d8e8 e1e8,534,83,100,176,endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/2uoF0V19/black#58,
aPnuI,2r3k1/1r3p1p/p5p1/3p1q2/1P1B4/P1PPQP1b/2N4P/4R1K1 w - - 4 36,b8c8 e3e8 c8e8 e1e8,535,95,100,281,kingsideAttack master mate mateIn2 middlegame sacrifice short,https://lichess.org/ljjKsBQh/black#70,
VHNie,k6r/pp5p/3Q4/1Pp3p1/5p2/2q4P/Pn3PPB/3R2K1 w - - 6 29,b8a8 d6d8 h8d8 d1d8,540,86,100,186,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/whOBigIL/black#56,
ukcei,3r1r1k/p6p/Bp3p1n/7P/2P2R1Q/3q4/PP3PP1/K6R b - - 8 30,b1a1 d3d1 h1d1 d8d1,552,95,100,294,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/lsA8Ho2Y#59,
O0lYD,6k1/1p3p1p/2q2bpB/3R1b2/1pB5/1r2P2P/5PP1/3R2K1 w - - 2 30,c3f6 d5d8 f6d8 d1d8 c6e8 d8e8,555,83,100,163,long mate mateIn3 middlegame sacrifice,https://lichess.org/qOUh7RPo/black#58,
Nx0Vn,4r2k/ppp2QRp/8/3p1P2/4q3/2P4P/PP5B/K5R1 b - - 2 29,b1a1 e4e1 g1e1 e8e1,593,85,100,367,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/b2otRGQQ#57,
rf4PZ,2r3k1/pq3ppp/8/P7/8/4Q3/2r2PPP/R3R1K1 w - - 3 27,b2b7 e3e8 c8e8 e1e8,599,91,100,61,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/GEcn1zQ1/black#52,
1njzU,4r3/pppk4/3b3Q/3P4/4r3/2B4P/PPP3P1/7K b - - 0 26,f6h6 e4e1 c3e1 e8e1,614,90,100,122,endgame mate mateIn2 sacrifice short,https://lichess.org/EajfaAsi#51,
3p3VP,4rr1k/1pp1q1pp/p7/3Q2B1/8/3P4/PPP2RPP/R5K1 b - - 0 20,f1f2 e7e1 a1e1 e8e1 f2f1 e1f1,616,91,100,210,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/beDCYkhS#39,
SAZic,3r1k2/pp3p2/4pQp1/8/8/3q4/PP3PPP/K6R b - - 3 25,b1a1 d3d1 h1d1 d8d1,620,81,100,80,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/4PSmioNQ#49,
9kfr1,r6k/pp3Qpp/3p2p1/4p3/1P2P3/P6P/4q1P1/5RK1 w - - 2 29,g8h8 f7f8 a8f8 f1f8,642,86,100,344,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/uQmr8EVE/black#56,
FB3Ou,4rk2/6p1/1p1R4/2n2p2/8/4qP2/2Q3PP/3R3K b - - 6 40,g1h1 e3e1 d1e1 e8e1,647,86,100,220,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/xEDeOfWo#79,
h7KGY,2r4k/2q3pp/p4bp1/5p2/8/1Pp4P/PB2QPP1/4R1K1 w - - 0 30,b4c3 e2e8 c8e8 e1e8,657,84,100,151,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/itBCgevd/black#58,
EAOdx,4rk2/1Qp2p1p/3p4/3Pq3/8/2P5/PP3PPP/R5K1 b - - 0 23,a7b7 e5e1 a1e1 e8e1,662,81,100,77,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/Y4j7vCQZ#45,
fsUrJ,3r2k1/1p3ppp/p1p2q2/8/P3Q3/1P5P/2P2PP1/4R1K1 w - - 1 24,d4f6 e4e8 d8e8 e1e8,671,84,100,76,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/51wz3iMA/black#46,
UDlVs,2r2r1k/5ppp/4p3/1b1pN2N/3p2QP/Pp3R2/1Pq2PP1/K6R b - - 4 25,b1a1 c2c1 h1c1 c8c1,679,78,100,123,mate mateIn2 middlegame sacrifice short,https://lichess.org/hXSd4DWz#49,
JkeR9,r5k1/5ppp/2pQ4/pp6/8/P1P2q2/1P3P1P/3R2K1 w - - 0 30,e2f3 d6d8 a8d8 d1d8,685,86,100,72,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/kF4qimUO/black#58,
I0iCG,1k2rbr1/ppR4R/3p2p1/2pP1bP1/8/5N2/PQPNqPP1/2K5 b - - 7 21,d1c1 e2e1 f3e1 e8e1,690,78,100,1157,master mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/DErodvuK#41,
bP86V,r5k1/p4ppp/2p5/n3r3/2P5/5Q2/Pq4PP/RN3R1K w - - 0 21,d4b2 f3f7 g8h8 f7f8 a8f8 f1f8,708,80,100,159,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/O4fvexDd/black#40,
Nhj6d,5k2/1b1r4/p5Q1/1p6/4Pq2/8/PPPN4/1K3R2 b - - 2 31,g1f1 f4f1 d2f1 d7d1,714,78,100,206,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/CtE2U4Lg#61,
8LUoE,6k1/5ppp/p3b3/1p1p4/8/7P/r4rP1/2R1R1K1 w - - 2 34,f4f2 c1c8 e6c8 e1e8,724,84,100,165,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/Lc1HGmfN/black#66,
ZkvQo,2r3k1/p4p1p/6p1/4B2n/8/3QPq1P/P4P2/1K1R4 w - - 4 29,g7g8 d3d8 c8d8 d1d8,727,81,100,252,endgame mate mateIn2 sacrifice short,https://lichess.org/62bGJjnx/black#56,
bN8za,4r3/3k2p1/1B6/3Nn3/1bP5/1P4Pp/P4P1P/6KB b - - 4 28,c3d5 e5f3 h1f3 e8e1,755,79,100,169,clearance endgame mate mateIn2 sacrifice short,https://lichess.org/51GuFS6A#55,
LsDWW,r6k/pp3Qp1/2p4p/3p4/3p4/P2Br1q1/1P6/3R1R1K w - - 0 28,e8e3 f7f8 a8f8 f1f8,761,92,100,46,mate mateIn2 middlegame sacrifice short,https://lichess.org/5rDxMsum/black#54,
ctEFC,3r2k1/p2q1ppp/1pp5/4bQ2/4P3/2P1B2P/PP3PP1/R5K1 b - - 1 21,f3f5 d7d1 a1d1 d8d1,782,77,100,250,endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/jhaDpMva#41,
TBAhb,2r3k1/5ppp/4p3/3pP1q1/b2P4/2r4P/P4QP1/R4RK1 w - - 0 28,f8c8 f2f7 g8h8 f7f8 c8f8 f1f8,786,77,100,95,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/PCJDXsfu/black#54,
CO1uJ,1r3r1k/1p2R1pp/pB6/P4q2/3P4/1Q6/5PPP/3R2K1 b - - 0 27,c3d4 f5f2 g1h1 f2f1 d1f1 f8f1,797,79,100,122,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/Wfcvax2o#53,
ZMu1D,2r3k1/pp3ppp/8/3p4/8/P2P1Q1P/1q4P1/5R1K w - - 0 24,f8c8 f3f7 g8h8 f7f8 c8f8 f1f8,802,81,100,91,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/8vkBQJy3/black#46,
DPj5M,3r2k1/Q4p1p/4p1p1/8/2B3P1/3q1P2/PP5P/K6R b - - 0 25,b3c4 d3d1 h1d1 d8d1,814,81,100,184,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/8MQwzuLx#49,
rLDiA,2b5/3nkr2/p2Rp2Q/1pq1P3/P1p5/8/BP3PPP/3R2K1 b - - 0 33,g7h6 c5f2 g1h1 f2f1 d1f1 f7f1,815,77,100,248,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/H4VSqGgh#65,
9x4TW,r5kr/pp1N1ppp/5b2/3p4/1Pn2q2/P7/4QPPP/R3R1K1 w - - 2 23,f8g8 e2e8 a8e8 e1e8,846,85,100,470,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/mzU8Z46o/black#44,
2VN0f,2r3k1/p4ppp/2q5/8/3P4/PQ1nP1P1/7P/5RK1 w - - 0 29,c7c6 b3f7 g8h8 f7f8 c8f8 f1f8,852,80,100,281,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/Z7aQrSFo/black#56,
agS29,3k2r1/R7/5R2/p1p3rp/P7/3P1N2/1P3b1P/7K b - - 8 42,e7a7 g5g1 f3g1 g8g1,856,89,100,70,endgame mate mateIn2 sacrifice short,https://lichess.org/SLcUkUg6#83,
9k3mt,r2r2k1/pp3ppp/3p1b2/2pq4/8/1P2Q2P/P1PBRPP1/4R1K1 w - - 0 20,e6d5 e3e8 d8e8 e2e8 a8e8 e1e8,861,84,100,56,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/JpwhM7Lr/black#38,
qXOGR,6k1/5p2/p1b3p1/1p6/4p1P1/4Q2P/PPqR2K1/8 b - - 2 35,d4d2 c2d2 e3d2 e4e3 g2f1 e3d2,868,79,100,263,advancedPawn attraction crushing discoveredAttack endgame long sacrifice,https://lichess.org/58GNd7qH#69,
Zy1yz,r7/pp1Rb2Q/2p1kr2/2q1p3/4P3/2N5/PPP2PPP/3R2K1 b - - 0 22,h5h7 c5f2 g1h1 f2f1 d1f1 f6f1,872,77,100,211,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/uZe2U14d#43,
c2O3d,1k6/1pp2p2/1p6/3nQ3/b7/1RP2P2/PPq3rP/K3R3 w - - 9 32,c6a4 e5e8 a4e8 e1e8 b8a7 b3a3 c2a4 a3a4,879,79,100,701,mate mateIn4 middlegame queensideAttack sacrifice veryLong,https://lichess.org/UvMKHi9V/black#62,
ftsNY,1r4k1/5ppp/p3p3/8/P4qP1/3Qn1NP/1P1R4/6K1 w - - 11 38,d5e3 d3d8 b8d8 d2d8,880,91,100,44,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/zxBp5H6h/black#74,
BvpOB,6kr/pp1b1ppq/1b6/7r/3NQ3/2P3BP/PP2RPPK/6R1 b - - 0 31,c2e4 h5h3 g2h3 h7h3,889,76,100,212,mate mateIn2 middlegame sacrifice short,https://lichess.org/ZifAdVkG#61,
YRAtW,3r2k1/p6p/1qp1b1pB/4b2n/4P3/2N2Q2/PPP3PP/2K2R2 w - - 0 19,a8d8 f3f8 d8f8 f1f8,891,79,100,289,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/RxGDbUz9/black#36,Sicilian_Defense Sicilian_Defense_Other_variations
4Oh7O,1rb2r1k/2p3pp/p3pq2/1p2N2n/3PB3/2P1R2Q/P4PPP/1R4K1 b - - 11 22,g3h3 f6f2 g1h1 f2f1 b1f1 f8f1,899,77,100,375,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/pabz11nS#43,
PD7BS,3r2k1/pp3ppp/2b1p3/q3P1bQ/8/2N5/PPP3PP/1K3R2 w - - 0 20,e3g5 h5f7 g8h8 f7f8 d8f8 f1f8,900,93,100,48,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/TqUnOv6n/black#38,
OpGoI,8/1p4kp/1P1p4/2nP4/2P2PP1/p5KP/8/1B6 b - - 1 46,h2g3 c5e4 b1e4 a3a2,906,80,100,419,advancedPawn advantage endgame sacrifice short,https://lichess.org/0mq9sLKY#91,
wfNFX,4kr2/1pR2p1p/pn3Qp1/3qp3/P2r4/1P3R2/1P2BPPP/6K1 b - - 17 29,c1c7 d4d1 e2f1 d1f1 g1f1 d5d1,912,76,100,272,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/q7s2Jx1A#57,
ayQzZ,2r3k1/p1r2ppp/1p6/4p1PP/2q1P3/P7/1PPQ3R/2KR4 w - - 3 24,c5c4 d2d8 c8d8 d1d8,920,108,100,42,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/ye5uEw1B/black#46,
eBLTX,2r4k/8/3Q2pr/p2P1q2/1p6/6R1/PPP5/1K4R1 b - - 0 33,e7d6 f5c2 b1a1 c2c1 g1c1 c8c1,926,126,100,16,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/fCeDlZi6#65,
fL68O,1rq1rb1k/6pp/5p2/pppB1P2/3n1R1N/P1N3P1/1P5P/2BR2K1 w - - 0 33,a7a5 h4g6 h7g6 f4h4,969,94,100,75,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/9OCP1wbu/black#64,
KcwHV,r4k1r/1qp2p2/4b2p/1pb1pNp1/p3n3/2PQ1N2/PP2BPPP/2KR3R w - - 0 21,f6e4 d3d8 a8d8 d1d8,971,76,100,181,mate mateIn2 middlegame sacrifice short,https://lichess.org/WPuECcZk/black#40,
Ypwla,5rk1/p7/3Nb1pp/8/2P1Q3/2P1P1P1/P3q1PP/R5K1 b - - 2 26,b7e4 e2f2 g1h1 f2f1 a1f1 f8f1,981,279,100,30,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/ox88tijP#51,
gmAPH,4k3/pp3N2/4PK2/4R3/2p2P1r/6Q1/P1q5/R6r b - - 3 35,f5f6 h4h6 f7h6 h1h6 g3g6 h6g6,985,75,100,535,long mate mateIn3 middlegame sacrifice,https://lichess.org/R5cNDq8x#69,
9LIdE,rb3r1k/1R2N1pp/4p3/p1p5/8/3P1N2/2q2PPP/Q5K1 w - - 0 21,f7e6 e7g6 h7g6 a1g7,1002,76,100,268,mate mateIn2 middlegame sacrifice short,https://lichess.org/eaDh6Lsj/black#40,
gcW1T,q4rk1/3rbpp1/2b1p2p/2p1P1N1/Pp1pN3/1P1Q3P/2P2PP1/R3R1K1 w - - 0 23,h7h6 e4f6 g7f6 d3h7,1006,77,100,291,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/nLeGJO9H/black#44,
rk6gD,r7/4Qpkp/6p1/q3p3/4P3/1B6/1PP2PPP/rNKR3R b - - 0 21,b7e7 a1b1 c1b1 a5a1,1017,76,100,170,attraction mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/0LoEE7u4#41,
4ZLm4,4r1k1/R1p2pp1/2p1qn1p/2P5/1P1B4/3P2Q1/2N2PPP/6K1 b - - 0 25,a1a7 e6e1 c2e1 e8e1,1022,163,100,14,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/Je9zefH2#49,
L2A62,r5k1/1p3ppp/3p4/1R2b3/4P3/3P1Q1P/r1q3P1/5R1K w - - 5 23,f8a8 f3f7 g8h8 f7f8 a8f8 f1f8,1031,94,100,41,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/LtmSbCFm/black#44,
CRYGP,4r1k1/pp3ppp/8/3Qq3/4n3/1Pr3PP/P5PK/R4R2 w - - 0 24,c7e5 d5f7 g8h8 f7f8 e8f8 f1f8,1036,116,100,24,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/mHI7Dadn/black#46,
UrZw3,2QR4/6pk/2p2q1p/p1b5/Pp6/4rN2/1PP3PP/7K b - - 3 30,d1d8 e3e1 f3e1 f6f1,1051,117,100,19,endgame mate mateIn2 sacrifice short,https://lichess.org/GYqbkdUy#59,
pWo6e,5rk1/p1pp2pp/1p6/8/4Q3/P1B5/1P1q2PP/R5K1 b - - 4 27,d4c3 d2f2 g1h1 f2f1 a1f1 f8f1,1059,76,100,98,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/GNP8OEfJ#53,
LnpfW,6rk/p5p1/1p1R3p/2r1P3/5P1Q/P1q3PK/8/8 w - - 0 39,b2c3 d6h6 g7h6 h4h6,1061,80,100,103,endgame mate mateIn2 sacrifice short,https://lichess.org/2T9YVTzr/black#76,
jQGYB,r2q2rk/p2nbppp/1p2p3/6Q1/4n2R/4B2P/PPP2PP1/4R1K1 w - - 0 21,f6e4 h4h7 h8h7 g5h5,1069,75,100,262,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/Zy6P7xyx/black#40,
pNAkJ,r4r1k/pp4p1/4R2p/8/3q4/1Q6/P4PPP/3R2K1 b - - 1 20,a1d1 d4f2 g1h1 f2f1 d1f1 f8f1,1074,81,100,252,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/vF7hXFNp#39,
MixXy,r5k1/pp3p1p/3p1qp1/2pN3r/2PbP3/3Q1P2/PPR3PP/5R1K b - - 9 19,c3d5 h5h2 h1h2 f6h4,1076,91,100,38,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/jwOQinwj#37,
r5WLU,8/1r2q1kp/2QpPp2/p1p3p1/8/7P/P1P1R1PK/8 w - - 6 45,b4b7 c6b7 e7b7 e6e7 b7b5 e7e8q b5e8 e2e8,1080,76,100,376,advancedPawn advantage endgame promotion sacrifice veryLong,https://lichess.org/HRakP3Hx/black#88,
tNVqm,1k1r4/ppp3Qp/5n2/8/8/1Nq5/P1P2PPP/R5K1 b - - 0 20,g4g7 c3a1 b3a1 d8d1,1086,75,100,389,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/VP0Er65u#39,
cvkPF,3r1rk1/pb2bppp/2p1p3/qp5Q/3PNn2/P1P1P3/1PB2PPP/R3K2R w KQ - 0 17,d5f4 e4f6 g7f6 h5h7,1098,78,100,489,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/Ua9fcEhx/black#32,Queens_Pawn_Game Queens_Pawn_Game_London_System
DlMlD,R2r1b1r/2kb1ppp/1B2pn2/1p1p4/3P4/4P3/1P3PPP/4KBNR b K - 0 16,a5b6 c7b6 a8d8 f8b4 e1d1 h8d8,1104,77,100,144,advantage discoveredAttack long middlegame sacrifice,https://lichess.org/5BGu7Aty#31,Slav_Defense Slav_Defense_Other_variations
jW3FB,8/1p4p1/p5p1/3kP3/PP2R1P1/3r4/8/6K1 w - - 1 47,e6d5 e5e6 d5e4 e6e7 e4f4 e7e8q,1121,83,100,54,advancedPawn advantage endgame long promotion rookEndgame sacrifice,https://lichess.org/wuS10EED/black#92,
M99VS,4r1k1/pp1q1pp1/7p/2P5/3b1P2/2N1r2P/PP4P1/R2Q1R1K b - - 5 20,b1c3 e3h3 g2h3 d7h3,1129,76,100,143,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/9dlQihMY#39,
aC24j,2r4k/p1q1bQp1/1p2P1Pp/4p3/8/P7/1PPK3R/6r1 w - - 0 28,e1g1 h2h6 g7h6 f7h7,1136,83,100,100,endgame mate mateIn2 sacrifice short,https://lichess.org/6Zd8kD1l/black#54,
x19DY,2r3k1/pp4pp/8/n3p3/8/PPp2Q1P/2Pq2P1/5R1K w - - 0 24,f6e5 f3f7 g8h8 f7f8 c8f8 f1f8,1141,75,100,98,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/YVujbNjD/black#46,
yW3iJ,2r2rk1/p4pp1/1p1Q3p/4PP2/3R3P/6B1/PPP1qP2/1K1R4 b - - 0 29,f4f5 e2c2 b1a1 c2c1 d1c1 c8c1,1149,75,100,271,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/oovoN5jo#57,
